speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times, mean_max_cost, std_max_cost, mean_avg_cost, std_avg_cost
1, 0, 0.0802937, 0, 1.2953, 0, 0.287741, 0.0248261, 0.226984, 0, 0.00514532, 0
1, 0.002, 0.0713209, 0.0420061, 1.29623, 0.124002, 1.56589, 5.68983, 0.251208, 0.0241693, 0.0071155, 0.00250697
1, 0.004, 0.0635493, 0.0416904, 1.48475, 0.361013, 6.12536, 11.252, 0.233511, 0.0630789, 0.00850865, 0.00801888
1, 0.006, 0.132417, 0.0552018, 1.40675, 0.256091, 0.768045, 1.49171, 0.224777, 0.049976, 0.0120878, 0.00752979
1, 0.008, 0.0849289, 0.0604563, 1.59184, 0.396057, 2.69787, 4.05567, 0.239229, 0.043316, 0.00719599, 0.00640485
1, 0.01, 0.0910977, 0.0385658, 1.50785, 0.301347, 0.658899, 1.17394, 0.222862, 0.0311981, 0.00724254, 0.00331392
1.5, 0, 0.102923, 1.38778e-17, 1.33293, 2.22045e-16, 0.172059, 0.0232664, 0.174556, 0, 0.00466674, 0
1.5, 0.002, 0.126953, 0.0584111, 1.35332, 0.0444259, 0.345896, 0.90492, 0.229901, 0.0265977, 0.00581123, 0.00177143
1.5, 0.004, 0.09512, 0.061782, 1.31819, 0.0258267, 0.160663, 0.0632394, 0.232473, 0.0535079, 0.00706597, 0.0010597
1.5, 0.006, 0.109865, 0.0504227, 1.51418, 0.298716, 2.42563, 4.99657, 0.213084, 0.0441867, 0.00639097, 0.00455165
1.5, 0.008, 0.119376, 0.0451394, 1.68722, 0.420162, 3.28882, 5.23484, 0.224607, 0.0727927, 0.00626605, 0.0061968
1.5, 0.01, 0.116501, 0.0591379, 1.61963, 0.33231, 1.47365, 2.09079, 0.216305, 0.0726694, 0.00645057, 0.00558311
2, 0, 0.145968, 0, 1.35857, 0, 0.180903, 0.00431587, 0.231827, 2.77556e-17, 0.00659903, 0
2, 0.002, 0.0862656, 0.0287248, 1.35996, 0.0306051, 0.150434, 0.0242335, 0.220972, 0.0264817, 0.00703959, 0.000704457
2, 0.004, 0.10153, 0.0634343, 1.3786, 0.0495212, 0.187529, 0.0866971, 0.2154, 0.0318429, 0.00585102, 0.0020951
2, 0.006, 0.0911954, 0.0689327, 1.36634, 0.0476778, 0.152265, 0.0493983, 0.235893, 0.0224648, 0.007544, 0.00239631
2, 0.008, 0.0988679, 0.0661002, 1.50976, 0.270307, 1.00643, 1.87559, 0.209487, 0.0560162, 0.00714902, 0.00439733
2, 0.01, 0.153403, 0.0406414, 1.48617, 0.21798, 0.557979, 1.28405, 0.224773, 0.0401481, 0.00964332, 0.00754677
2.5, 0, 0.0148652, 1.73472e-18, 1.4356, 2.22045e-16, 0.10328, 0.000170896, 0.206965, 2.77556e-17, 0.00706882, 8.67362e-19
2.5, 0.002, 0.163386, 0.0705844, 1.43413, 0.032775, 0.101218, 0.00936092, 0.198918, 0.0164954, 0.00454044, 0.000741999
2.5, 0.004, 0.147432, 0.0534034, 1.38919, 0.0401562, 0.123872, 0.0407361, 0.22537, 0.0169495, 0.00895603, 0.00248582
2.5, 0.006, 0.151121, 0.0802813, 1.55038, 0.361468, 1.6619, 3.14935, 0.204921, 0.036448, 0.00475894, 0.00194426
2.5, 0.008, 0.185084, 0.0720379, 1.44405, 0.219463, 0.339977, 0.61357, 0.201547, 0.0133428, 0.00508668, 0.00149759
2.5, 0.01, 0.184201, 0.0983922, 1.571, 0.380443, 0.905986, 1.30437, 0.256264, 0.0623169, 0.00686517, 0.00527255
3, 0, 0.158097, 2.77556e-17, 1.43377, 0, 0.087651, 0.000321254, 0.160843, 2.77556e-17, 0.00358631, 0
3, 0.002, 0.119616, 0.0384709, 1.43974, 0.00706951, 0.0898059, 0.00476477, 0.188076, 0.0163635, 0.00506234, 0.00103778
3, 0.004, 0.140701, 0.0378555, 1.44723, 0.144871, 0.422595, 1.42052, 0.201983, 0.0292681, 0.00536355, 0.000751588
3, 0.006, 0.150332, 0.038776, 1.42026, 0.00364468, 0.100168, 0.0200483, 0.209125, 0.0267311, 0.00526179, 0.00141885
3, 0.008, 0.148751, 0.0698364, 1.50344, 0.345882, 0.914039, 1.8708, 0.22832, 0.0540165, 0.0094671, 0.00454138
3, 0.01, 0.142565, 0.0720709, 1.46405, 0.231561, 0.72765, 1.83448, 0.204091, 0.0659807, 0.00935449, 0.00730267
3.5, 0, 0.0926999, 1.38778e-17, 1.43422, 0, 0.101433, 0.000421372, 0.234245, 0, 0.00870045, 0
3.5, 0.002, 0.0965323, 0.0178977, 1.45246, 0.0153493, 0.115768, 0.0318796, 0.234111, 0.0251764, 0.00521148, 0.00070413
3.5, 0.004, 0.147003, 0.0967113, 1.52539, 0.322263, 0.643512, 1.65142, 0.184397, 0.0303739, 0.00407471, 0.00144736
3.5, 0.006, 0.0551232, 0.0400413, 1.39434, 0.0265248, 0.0737632, 0.00187145, 0.180019, 0.0167107, 0.00612663, 0.00119566
3.5, 0.008, 0.1666, 0.122114, 1.44254, 0.180894, 0.348302, 1.1359, 0.184553, 0.020189, 0.00744899, 0.00443936
3.5, 0.01, 0.177943, 0.110439, 1.43394, 0.0882947, 0.147514, 0.111371, 0.258131, 0.13817, 0.0102202, 0.00566298
4, 0, 0.119712, 1.38778e-17, 1.44506, 0, 0.0877009, 0.000532038, 0.36387, 0, 0.00927055, 0
4, 0.002, 0.129278, 0.060071, 1.46872, 0.0241658, 0.0867933, 0.00294872, 0.301135, 0.120024, 0.00760318, 0.00241289
4, 0.004, 0.0701901, 0.0435506, 1.48311, 0.24944, 0.287273, 0.819062, 0.231522, 0.0544878, 0.00660982, 0.00191358
4, 0.006, 0.169251, 0.0347119, 1.44096, 0.163754, 0.347999, 1.18039, 0.208022, 0.0270107, 0.00821569, 0.00304655
4, 0.008, 0.10416, 0.0691719, 1.45269, 0.141387, 0.325965, 1.08451, 0.231693, 0.031252, 0.0060996, 0.00222675
4, 0.01, 0.150428, 0.0292278, 1.42802, 0.186144, 0.1759, 0.44738, 0.181178, 0.0299441, 0.00688301, 0.00204121
4.5, 0, 0.0238259, 0, 1.42309, 0, 0.0812788, 0.00472889, 0.189538, 2.77556e-17, 0.01028, 0
4.5, 0.002, 0.0743413, 0.0440894, 1.45601, 0.0405578, 0.0855557, 0.0119531, 0.212654, 0.0228762, 0.00679746, 0.00188217
4.5, 0.004, 0.0835718, 0.0145373, 1.42163, 0.0228035, 0.0842443, 0.00880256, 0.232966, 0.0631243, 0.00695186, 0.00181369
4.5, 0.006, 0.191343, 0.101185, 1.44379, 0.0780089, 0.0775785, 0.00732326, 0.178789, 0.0297698, 0.00624291, 0.00324299
4.5, 0.008, 0.104603, 0.0878301, 1.47269, 0.309171, 0.552236, 1.33467, 0.172416, 0.0442887, 0.00945957, 0.00649041
4.5, 0.01, 0.164907, 0.0944205, 1.46259, 0.185767, 0.279029, 0.790934, 0.182537, 0.0619453, 0.00664557, 0.00133868
