speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times, mean_max_cost, std_max_cost, mean_avg_cost, std_avg_cost
3.5, 0.008, 0.482292, 0.131045, 1.64052, 0.188092, 4.57409, 2.48115, 0.161552, 0.244442, 0.00645662, 0.00907915
3.5, 0.01, 0.469064, 0.158479, 1.62578, 0.238273, 4.44033, 1.97765, 0.15712, 0.243364, 0.00721611, 0.0112737
4, 0, 0.708172, 0, 1.64973, 2.22045e-16, 3.89509, 0.116865, 0.00544445, 0, 0.000238827, 2.71051e-20
4, 0.002, 0.713956, 0.013826, 1.65175, 0.00475326, 3.91154, 0.145941, 0.00544445, 0, 0.000238827, 2.71051e-20
4, 0.004, 0.720222, 0.0281123, 1.6542, 0.00986096, 4.00686, 0.491836, 0.0082535, 0.0122444, 0.000327171, 0.000385082
4, 0.006, 0.726035, 0.0398304, 1.65684, 0.0187817, 4.5854, 1.46636, 0.0125606, 0.0163829, 0.000471699, 0.000507826
4, 0.008, 0.730424, 0.0482632, 1.68875, 0.106844, 4.81514, 1.73027, 0.0222788, 0.0306358, 0.000865735, 0.00128328
4, 0.01, 0.72222, 0.0613902, 1.71451, 0.151845, 5.18126, 2.1104, 0.0304605, 0.0419238, 0.00102241, 0.00116241
4.5, 0, 0.758695, 1.11022e-16, 1.78096, 0, 3.99614, 0.138618, 0.000534469, 0, 4.0636e-05, 0
4.5, 0.002, 0.751711, 0.0347865, 1.78301, 0.0113824, 3.95686, 0.119295, 0.000534469, 0, 4.0636e-05, 0
4.5, 0.004, 0.743586, 0.0671266, 1.78519, 0.0228259, 3.99918, 0.126882, 0.000534469, 0, 4.0636e-05, 0
4.5, 0.006, 0.735322, 0.0993019, 1.78736, 0.0339717, 4.01113, 0.109195, 0.00256101, 0.0088335, 0.000218995, 0.000777448
4.5, 0.008, 0.726398, 0.130689, 1.79097, 0.0416433, 4.00361, 0.129881, 0.0176212, 0.0695656, 0.00158221, 0.0062097
4.5, 0.01, 0.714623, 0.15734, 1.79763, 0.0511082, 3.99086, 0.125374, 0.0330801, 0.0947668, 0.00292637, 0.00831732
