speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times, mean_max_cost, std_max_cost, mean_avg_cost, std_avg_cost
1, 0, 0.192002, 2.77556e-17, 2.06232, 0, 44.8799, 0.947954, 0.397353, 0, 0.0247976, 3.46945e-18
1, 0.002, 0.162115, 0.0276217, 2.0469, 0.0258719, 44.2366, 1.17261, 0.397353, 0, 0.0247976, 3.46945e-18
1, 0.004, 0.144696, 0.0498652, 1.99418, 0.112046, 47.3713, 7.17449, 0.437966, 0.118281, 0.0245179, 0.00498706
1, 0.006, 0.181054, 0.0935013, 1.97921, 0.0989703, 63.4789, 26.0602, 0.38807, 0.165893, 0.0175231, 0.00703752
1, 0.008, 0.197681, 0.0849212, 1.97359, 0.120403, 77.6762, 29.3849, 0.42605, 0.178897, 0.0150246, 0.00993628
1, 0.01, 0.248516, 0.117986, 2.00363, 0.139429, 100.779, 49.3524, 0.35345, 0.173879, 0.0119974, 0.00902855
1.5, 0, 0.686711, 0, 1.96745, 0, 6.89978, 0.176291, 0.0141311, 1.73472e-18, 0.000476237, 5.42101e-20
1.5, 0.002, 0.658387, 0.0777404, 1.95903, 0.0257603, 6.89397, 0.179953, 0.0141311, 1.73472e-18, 0.000476237, 5.42101e-20
1.5, 0.004, 0.611607, 0.136038, 1.96327, 0.0459018, 7.01823, 0.288889, 0.0529216, 0.150945, 0.00136895, 0.00332986
1.5, 0.006, 0.57076, 0.170774, 1.96514, 0.0591175, 10.678, 12.2296, 0.121258, 0.199863, 0.00294318, 0.00402623
1.5, 0.008, 0.547004, 0.196455, 1.97994, 0.0934777, 9.55685, 4.07093, 0.152398, 0.193994, 0.0038236, 0.00441276
1.5, 0.01, 0.550516, 0.192583, 2.02107, 0.130638, 15.8812, 12.6254, 0.209044, 0.236946, 0.00536193, 0.00627898
2, 0, 0.43117, 5.55112e-17, 1.95591, 2.22045e-16, 15.3353, 0.239938, 0.113361, 0, 0.00282277, 0
2, 0.002, 0.434959, 0.0757867, 1.95918, 0.00652488, 15.2293, 0.291402, 0.113361, 0, 0.00282277, 0
2, 0.004, 0.399581, 0.108992, 1.96052, 0.0307622, 16.7543, 2.70682, 0.209253, 0.232826, 0.0041623, 0.00328254
2, 0.006, 0.355042, 0.154502, 1.94891, 0.040301, 21.0782, 9.0464, 0.276256, 0.247806, 0.00516417, 0.00350614
2, 0.008, 0.359875, 0.149621, 1.99064, 0.0889295, 29.1362, 17.9177, 0.231431, 0.211482, 0.00500502, 0.00369242
2, 0.01, 0.400157, 0.146496, 1.96303, 0.0801382, 27.2317, 7.94193, 0.2358, 0.23627, 0.00468355, 0.00292545
2.5, 0, 0.478961, 0, 2.08025, 0, 6.10477, 0.131428, 0.0590142, 6.93889e-18, 0.00183148, 0
2.5, 0.002, 0.482642, 0.0314604, 2.07342, 0.0147003, 6.14514, 0.191958, 0.0590142, 6.93889e-18, 0.00183148, 0
2.5, 0.004, 0.472813, 0.0481953, 2.06678, 0.0285713, 6.11403, 0.101434, 0.0590142, 6.93889e-18, 0.00183148, 0
2.5, 0.006, 0.4529, 0.0733242, 2.06076, 0.041439, 6.12868, 0.148799, 0.0590142, 6.93889e-18, 0.00183148, 0
2.5, 0.008, 0.447111, 0.0878226, 2.07706, 0.0655944, 7.22224, 2.52593, 0.162225, 0.23492, 0.00427617, 0.00552664
2.5, 0.01, 0.416352, 0.103056, 2.07783, 0.10174, 8.85554, 5.11128, 0.230512, 0.264218, 0.00616416, 0.00683418
3, 0, 0.3431, 0, 2.36593, 0, 7.29102, 0.15329, 0.255684, 0, 0.00368466, 4.33681e-19
3, 0.002, 0.338958, 0.0120665, 2.37117, 0.0229421, 7.24796, 0.162361, 0.255684, 0, 0.00368466, 4.33681e-19
3, 0.004, 0.336938, 0.023429, 2.37648, 0.0456035, 7.36245, 0.137425, 0.255684, 0, 0.00368466, 4.33681e-19
3, 0.006, 0.336966, 0.0336256, 2.38531, 0.0664367, 7.80177, 1.47907, 0.261981, 0.0156322, 0.00373637, 0.000137415
3, 0.008, 0.33633, 0.0358735, 2.39758, 0.0957473, 8.83454, 2.02599, 0.26384, 0.0297038, 0.00385682, 0.000219253
3, 0.01, 0.337539, 0.0387571, 2.40161, 0.115369, 9.14996, 2.14169, 0.270917, 0.0236818, 0.00390117, 0.000257078
3.5, 0, 0.523839, 0, 1.58031, 0, 2.96329, 0.118888, 0.0667736, 0, 0.00305202, 0
3.5, 0.002, 0.516841, 0.0386466, 1.57227, 0.00947558, 3.00983, 0.121035, 0.0667736, 0, 0.00305202, 0
3.5, 0.004, 0.509628, 0.0767007, 1.56543, 0.0220177, 3.3781, 1.03847, 0.123083, 0.168558, 0.00593765, 0.00843346
3.5, 0.006, 0.49842, 0.106927, 1.5665, 0.0472804, 4.21671, 2.09117, 0.175897, 0.247936, 0.00847557, 0.0117669
