1, 0, 0.0468647, 1.38795, 0.027271
1, 0.002, 0.0563412, 1.36679, 0.018373
1, 0.004, 0.0727515, 1.35275, 0.019223
1, 0.006, 0.2177, 1.36118, 0.018368
1, 0.008, 0.0491022, 1.29917, 0.019491
1, 0.01, 0.164705, 1.30826, 0.019755
1.5, 0, 0.0221645, 1.4946, 0.012008
1.5, 0.002, 0.0265143, 1.49228, 0.011952
1.5, 0.004, 0.016384, 1.49474, 0.011744
1.5, 0.006, 0.014466, 1.45713, 0.011506
1.5, 0.008, 0.0971248, 1.54089, 0.011655
1.5, 0.01, 0.153379, 1.4088, 0.013141
2, 0, 0.130876, 1.5237, 0.008541
2, 0.002, 0.112821, 1.50226, 0.008415
2, 0.004, 0.102092, 1.54293, 0.008669
2, 0.006, 0.150995, 1.4639, 0.009224
2, 0.008, 0.229967, 1.47515, 0.00876
2, 0.01, 0.173868, 1.37, 0.00907
2.5, 0, 0.096083, 1.62446, 0.007169
2.5, 0.002, 0.111083, 1.64464, 0.007021
2.5, 0.004, 0.220966, 1.62896, 0.006878
2.5, 0.006, 0.134917, 1.61598, 0.006755
2.5, 0.008, 0.10406, 1.62708, 0.007046
2.5, 0.01, 0.212668, 1.65717, 0.007404
